,loss,memory,time
0,0.9191564264402192,0.109788,0.03407907485961914
1,0.751624538370869,0.096989,0.033484697341918945
2,0.35777135589490744,0.16084,0.033200740814208984
3,0.21724056608206224,0.080523,0.034372806549072266
4,0.5959760347255205,0.143899,0.03235507011413574
5,1.191579319192144,0.207622,0.03249621391296387
6,1.2470157664373156,0.105714,0.0327301025390625
7,0.8074460196845151,0.169026,0.03380703926086426
8,0.4994221238254644,0.232606,0.032525062561035156
9,0.6940457709871446,0.109134,0.03279900550842285
